Net Name,Pin Number,Pin Name,Description
P4,,,
--,1,NC,
1V8_SSB0/3V3_SSB3(def),2,IOREF,POW
RSTN_32670,3,RESET,AVR/POW
VOUT_3130,4,3.3V,POW
--,5,5V,POW
--,6,GND,POW
--,7,GND,POW
1V8_SSB0/0V7_SSB2/3V3_SSB3(def)/VCC_31334,8,VIN,POW
P3,,,
P0_21_32670,1,A0/PC0,AVR/DIG/ANA
P0_23_32670,2,A1/PC1,AVR/DIG/ANA
P0_24_32670,3,A2/PC2,AVR/DIG/ANA
P0_25_32670,4,A3/PC3,AVR/DIG/ANA
I2C1_SDA_32670(def)/I2C2_SDA_32670,5,A4/PC4/SDA,AVR/DIG/ANA/I2C
I2C1_SCL_32670(def)/I2C2_SCL_32670,6,A5/PC5/SCL,AVR/DIG/ANA/I2C
P6,,,
I2C0_SCL_32670,1,PC5/SCL,AVR/DIG/ANA/I2C
I2C0_SDA_32670,2,PC4/SDA,AVR/DIG/ANA/I2C
--,3,AREF,POW
--,4,GND,POW
SPI0_SCK_32670,5,PB5/SCK,AVR/DIG/SPI
SPI0_MISO_32670,6,PB4/MISO,AVR/DIG/SPI
SPI0_MOSI_32670,7,PB3/MOSI,AVR/DIG/SPI/PWM
SPI0_SS0_32670,8,PB2/SS,AVR/DIG/SPI/PWM
SWDCLKB_32670,9,PB1,AVR/DIG/PWM
SWDIOB_32670,10,PB0,AVR/DIG
P7,,,
SPI1_SS0_32670,1,PD7,AVR/DIG
UART0A_CTS_32670,2,PD6,AVR/DIG/PWM
UART1A_CTS_32670,3,PD5,AVR/DIG/PWM
UART0A_RTS_32670,4,PD4,AVR/DIG
UART1A_TX_32670,5,PD3,AVR/DIG/PWM/INT
UART1A_RX_32670,6,PD2,AVR/DIG/INT
UART0A_TX_32670(def)/P0_27_32670,7,PD1,AVR/DIG/SER
UART0A_RX_32670(def)/P0_26_32670,8,PD0,AVR/DIG/SER
P5,,,
SPI1_MISO_32670,1,MISO,
3V3_SSB3(def)/VCC_31334,2,VCC,
SPI1_SCK_32670,3,SCK,
SPI1_MOSI_32670,4,MOSI,
RSTN_32670,5,RESET,
--,6,GND,
